timestamp,icao24,latitude,longitude,groundspeed,track,vertical_rate,callsign,onground,alert,spi,squawk,altitude,geoaltitude,last_position,lastcontact,hour,extraField
1481274817,392AF4,,,374.7,161.3,1920,,,,,,,,,,,'{"aircraftID":631,"messageType":"MSG","transmissionType":4,"sessionID":1,"flightID":18123}'
1481274817,392AF4,,,,,,,False,False,False,,,18450,,,,'{"aircraftID":631,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18123}'
1481274817,392AF4,48.6021,2.05585,,,,,False,False,False,,,18475,,,,'{"aircraftID":631,"messageType":"MSG","transmissionType":3,"sessionID":1,"flightID":18123,"emergency":false}'
1481274818,392AF4,,,,,,,False,False,False,,,18475,,,,'{"aircraftID":631,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18123}'
1481274817,392AE7,,,,,,,False,False,False,,,1775,,,,'{"aircraftID":98,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18166}'
1481274817,392AE7,,,,,,,False,False,False,,,1775,,,,'{"aircraftID":98,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18166}'
1481274817,392AE7,,,162.1,268.2,1664,,,,,,,,,,,'{"aircraftID":98,"messageType":"MSG","transmissionType":4,"sessionID":1,"flightID":18166}'
1481274818,396441,,,416,321.1,-1728,,,,,,,,,,,'{"aircraftID":2173,"messageType":"MSG","transmissionType":4,"sessionID":1,"flightID":18125}'
1481274818,396441,,,,,,,False,False,False,,,35025,,,,'{"aircraftID":2173,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18125}'
1481274818,396441,,,,,,AFR503,,,,,,,,,,'{"aircraftID":2173,"messageType":"MSG","transmissionType":1,"sessionID":1,"flightID":18125}'
1481274818,394C19,48.15829,2.71349,,,,,False,False,False,,,23875,,,,'{"aircraftID":246,"messageType":"MSG","transmissionType":3,"sessionID":1,"flightID":18100,"emergency":false}'
1481274818,392AE7,,,,,,,False,False,False,,,1775,,,,'{"aircraftID":98,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18166}'
1481274818,392AE7,,,,,,,False,False,False,,,1775,,,,'{"aircraftID":98,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18166}'
1481274819,396441,,,,,,,False,False,False,,,35025,,,,'{"aircraftID":2173,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18125}'
1481274819,396441,,,,,,,False,,,,,,,,,'{"aircraftID":2173,"messageType":"MSG","transmissionType":8,"sessionID":1,"flightID":18125}'
1481274819,396441,,,,,,,False,,,,,,,,,'{"aircraftID":2173,"messageType":"MSG","transmissionType":8,"sessionID":1,"flightID":18125}'
1481274819,396441,,,,,,,False,False,False,,,35025,,,,'{"aircraftID":2173,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18125}'
1481274820,396441,,,416,321.1,-1856,,,,,,,,,,,'{"aircraftID":2173,"messageType":"MSG","transmissionType":4,"sessionID":1,"flightID":18125}'
1481274819,394C19,,,424.8,149.8,1408,,,,,,,,,,,'{"aircraftID":246,"messageType":"MSG","transmissionType":4,"sessionID":1,"flightID":18100}'
1481274819,394C19,,,424.8,149.8,1408,,,,,,,,,,,'{"aircraftID":246,"messageType":"MSG","transmissionType":4,"sessionID":1,"flightID":18100}'
1481274819,394C19,,,424.8,149.8,1408,,,,,,,,,,,'{"aircraftID":246,"messageType":"MSG","transmissionType":4,"sessionID":1,"flightID":18100}'
1481274820,394C19,,,,,,,False,,,,,,,,,'{"aircraftID":246,"messageType":"MSG","transmissionType":8,"sessionID":1,"flightID":18100}'
1481274819,392AF4,,,,,,,False,False,False,,,18475,,,,'{"aircraftID":631,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18123}'
1481274819,392AF4,48.59891,2.05748,,,,,False,False,False,,,18550,,,,'{"aircraftID":631,"messageType":"MSG","transmissionType":3,"sessionID":1,"flightID":18123,"emergency":false}'
