timestamp,icao24,latitude,longitude,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,altitude,geoaltitude,lastposupdate,lastcontact,hour
1656766110,39ac45,43.58999,1.25441,120,310.6,-64,SAMUCF,False,False,False,NaN,1850.0,1850,,,
1656766111,39ac45,43.58962,1.25498,120,310.6,-128,SAMUCF,False,False,False,NaN,1850.0,1850,,,
1656766112,39ac45,43.58921,1.2556,120,311.3,-64,SAMUCF,False,False,False,NaN,1850.0,1850,,,
1656766113,39ac45,43.58888,1.25619,120,311.3,-128,SAMUCF,False,False,False,NaN,1850.0,1850,,,
1656766114,39ac45,43.58847,1.25678,120,311.3,-128,SAMUCF,False,False,False,NaN,1850.0,1850,,,
1656766115,39ac45,43.58819,1.25723,120,311.3,-128,SAMUCF,False,False,False,NaN,1850.0,1850,,,
1656766116,39ac45,43.58784,1.25779,120,311.3,-128,SAMUCF,False,False,False,NaN,1850.0,1850,,,
1656766117,39ac45,43.58749,1.25848,120,311.3,-128,SAMUCF,False,False,False,NaN,1850.0,1850,,,
1656766118,39ac45,43.5871,1.25887,119,311.6,-128,SAMUCF,False,False,False,NaN,1850.0,1850,,,
1656766119,39ac45,43.58665,1.25965,118,311.2,-64,SAMUCF,False,False,False,NaN,1825.0,1825,,,
1656766120,39ac45,43.58628,1.26017,118,311.2,0,SAMUCF,False,False,False,NaN,1825.0,1825,,,
1656766121,39ac45,43.58596,1.26072,117,311.2,0,SAMUCF,False,False,False,NaN,1850.0,1850,,,
1656766122,39ac45,43.58576,1.26102,117,311.2,64,SAMUCF,False,False,False,NaN,1825.0,1825,,,
1656766123,39ac45,43.58544,1.26154,117,311.2,64,SAMUCF,False,False,False,NaN,1850.0,1850,,,
1656766124,39ac45,43.58504,1.26213,117,311.2,64,SAMUCF,False,False,False,NaN,1825.0,1825,,,
1656766125,39ac45,43.58445,1.26308,115,311.5,128,SAMUCF,False,False,False,NaN,1825.0,1825,,,
1656766126,39ac45,43.58413,1.26357,115,311.5,128,SAMUCF,False,False,False,NaN,1850.0,1850,,,
1656766127,39ac45,43.58394,1.26385,114,311.1,0,SAMUCF,False,False,False,NaN,1850.0,1850,,,
1656766128,39ac45,43.58353,1.26449,113,310.7,128,SAMUCF,False,False,False,NaN,1850.0,1850,,,
1656766129,39ac45,43.58321,1.26493,113,310.7,128,SAMUCF,False,False,False,NaN,1850.0,1850,,,
1656766130,39ac45,43.58278,1.26566,113,310.7,256,SAMUCF,False,False,False,NaN,1850.0,1850,,,
1656766131,39ac45,43.5825,1.26611,113,310.7,256,SAMUCF,False,False,False,NaN,1850.0,1850,,,
1656766132,39ac45,43.58216,1.26665,113,310.7,128,SAMUCF,False,False,False,NaN,1875.0,1875,,,
1656766133,39ac45,43.58174,1.26729,113,310.7,128,SAMUCF,False,False,False,NaN,1875.0,1875,,,
